id,word,definition
1,Abode,The place someone calls home. This is usually a permanent place that they live and could be any type of shelter or habitat.
2,Abstract,A thought of something that does not physically exist and cannot be referenced by a concrete object.
3,Abundance,A large amount of something that is more than you require.
4,Acclaim,Celebrate or give praise to someone in a public environment.
5,Accolade,A way of honouring an achievement of a person or a place.
6,Accompany,To go with or alongside something or someone.
7,Achieve,To reach a goal or successfully reach a finishing point.
8,Acquiesce,"Despite not wanting to agree to something, you would rather not accept."
9,Address,To share information to someone in a spoken or written medium.
10,Adhere,"To stick to something physically, emotionally or to follow rules."
21,Adjacent,Very nearby or next to each other.
22,Admission,Stating that something is true.
23,Admonish,To advise against something and warn a person you do not think it is wise.
24,Adopt,To take something and follow or use it as your own.
25,Adverse,Something that can have a negative or unfavourable impact on an event.
26,Aggressive,Showing anger or carrying out something in a forceful way.
27,Agitate,To make someone feel uneasy.
28,Aid,To give or provide help.
29,Albeit,A conjunction that could be used in place of although.
30,Allure,To attract or charm someone or something.
31,Amateur,Someone who is new to an event or takes part as a hobby rather than a profession.
32,Ambrosial,Something that has a nice smell or taste.
33,Ample,A large amount that is adequate or more than adequate.
34,Antiquated,Something that is old and out-of-date - it might need modernising.
35,Apathy,Having little interest or a lack of emotion towards something.
36,Appreciate,To understand the value of something and be aware that it is there.
37,Apprehensive,Feeling nervous or cautious about something as you fear something bad might happen.
38,Arduous,Something that is hard and strenuous and might leave you feeling tired.
39,Argument,A disagreement involving two or more different viewpoints that oppose each other.
40,Arid,Dry land with no rain. This land is so dry that it would not be able to support plant life.
41,Artful,Clever and intelligent in what is being completed.
42,Articulate,Being able to speak and express ideas clearly and coherently.
43,Artisan,A person skilled in a trade or craft that requires them to work with their hands.
44,Ashamed,Feeling embarrassed or guilty about something you have done or said.
45,Assemble,Collect things or people into one place. You could assemble a group of people or objects.
46,Asunder,To divide or separate something into multiple pieces.
47,Attempt,To try or make an effort to do something that is difficult.
48,Augur,A sign of things to come in the future. This could be good or bad.
49,Austerity,Reduced spending and living without things as you increase frugality.
50,Aversion,A strong dislike towards something and the feeling of wanting to move or turn away from it.
51,Avoid,To not go near someone or something and to stay away.
52,Avuncular,Being welcoming and kind to someone who might have less experience than you or is younger.
53,Barbaric,Being cruel and unsophisticated in the way you are acting.
54,Banal,Nothing out of the ordinary - something very normal and boring.
55,Because,Due to or for this reason.
56,Beck,A gesture to direct someone or get them to do as you wish.
57,Becoming,Something that is suitable and has a nice appearance.
58,Bedfellow,A person or thing connected or collaborating with someone else on a specific project.
59,Belligerent,A hostile attitude that might result in fighting or arguments.
60,Bemoan,To be unhappy about something and to express that grief.
61,Benefit,Something that gives an advantage or has a positive impact and can help you out.
62,Benign,Something that has no negative effect and is not harmful.
63,Betray,Not being loyal and sharing information with an enemy or opposition.
64,Bewildered,Deeply confused and unable to decide what the right choice is.
65,Biased,Having a preference and acting in an unfair way due to this.
66,Blissful,Extremely happy with no sadness or discontent.
67,Blunder,A mistake that has been made due to a lack of care or consideration
68,Bolster,To offer support and strengthen someone or something.
69,Bravado,A display of courage intended to impress another person.
70,Brawn,Well-developed muscles and lots of physical strength.
71,Brusque,A manner of speech that can seem sharp and come across as impolite.
72,Cache,A hiding place to keep a collection of items safe.
73,Calamity,A disastrous problem that causes distress and misfortune.
74,Candid,An unplanned and honest expression.
75,Candidate,A person who is nominated for or applies for a position.
76,Career,A job which a person has trained for and progresses through during their life.
77,Charismatic,A charming person who compels other people.
78,Charming,A pleasing and pleasant quality.
79,Charred,When something has been badly burnt and reduced to charcoal.
80,Coerce,To convince or persuade someone to do something they do not wish to.
81,Coherent,Something that is clear and logically organised.
82,Colloquial,Not a formal style of language but one that is conversational and might be specific to a local area.
83,Combination,Joining two or more things together.
84,Comical,Something that is funny and provides people with amusement.
85,Commemorate,To remember and show respect for a person or event.
86,Compel,Pressuring or forcing someone to take a certain action.
87,Complex,Difficult and challenging often with lots of connected parts.
88,Compliance,Obeying an order and acting within given guidelines.
89,Comrade,A trusted friend who you have things in common with such as a job or hobbies.
90,Conceited,Having a high self-opinion and being too proud of your abilities.
91,Conclusion,The end or finale of something.
92,Conclusive,Proving something is certainly true and ending any doubt around a scenario.
93,Concur,Agreeing with another person and having the same opinion.
94,Condemn,Not approving of something and criticising it strongly.
95,Condone,To overlook and accept a behaviour or action that might be bad or illegal.
96,Conducive,Providing the conditions to make an outcome certain or highly likely.
97,Confiscated,Taking something away from someone when you have the right to do so.
98,Conjecture,An idea or opinion that is formed without solid evidence.
99,Consent,Permission from all parties involved to partake in an activity.
100,Consequently,The outcome of an event as a result of something else.
101,Consideration,Taking time to think about something before making a judgement or decision.
102,Conspire,To plot with others to secretly take an action that is wrong or illegal.
103,Consume,To use something.
104,Contagious,Something that can spread and move easily between people.
105,Contemporary,Exists in the current period of time.
106,Contrast,Items that differ greatly in an obvious way.
107,Contrite,Feeling apologetic for behaviour you know was not appropriate.
108,Conundrum,A difficult and confusing problem or puzzle.
109,Convict,A person who has been found guilty of a crime.
110,Cordial,Being warm and polite towards another person in a social situation.
111,Covet,Longing for something and having a strong desire to have it.
112,Coy,Acting in a shy and reserved manner.
113,Crass,Offensive in manner and showing no sensitivity toward a situation or other people.
114,Credit,Attribution of someone’s efforts towards something.
115,Cunning,A deceitful character who plans to get what they want.
116,Curb,To restrain or stop something from happening.
117,Curious,Being interested and eager to learn something new.
118,Curt,Speaking briefly and coming across in a rude manner.
119,Dazzling,Something extremely bright and very beautiful. Something so bright that it can temporarily blind a person.
120,Debate,Discuss opposing arguments on a specific topic in a formal way.
121,Decline,To gradually go on a downwards trend.
122,Definite,Clearly defined without any ambiguity.
123,Defy,To go against an order and do something you have been told not to or that was unexpected.
124,Deject,Feeling disheartened and not having much hope.
125,Deluge,A very large amount of something - often water - causing a flood.
126,Demolish,To break something down or completely destroy it.
127,Demolished,To have knocked something down or completely destroyed it.
128,Demure,To act in a reserved and shy manner.
129,Depict,To represent or show something by a visual image.
130,Desist,To stop or suspend an activity.
131,Destitute,Extremely poor and lacking things such as food and shelter.
132,Develop,To change gradually and build or grow.
133,Devise,To come up with something such as a plan.
134,Devour,To destroy completely to the point where nothing is left at all.
135,Diction,The choice of words when speaking and the manner in which they are pronounced.
136,Digest,To break something down.
137,Digress,Stray from the main topic of conversation or writing and discuss something else.
138,Digression,Temporarily stray from the main topic of conversation or writing.
139,Diligent,Showing care in your work and working consistently with effort to achieve something.
140,Diluted,Has been weakened or thinned by something else.
141,Dim,Not bright and the levels of brightness might be insufficient.
142,Diminish,To reduce and to become less.
143,Discredit,Damage the reputation and refuse to believe it as being true.
144,Dishevelled,Untidy and very messy appearance.
145,Disinterested,Not having interest in something as it doesn’t feel like you will benefit from it.
146,Dismal,Gloomy and sad with little hope.
147,Disperse,Spread out in different directions and scatter widely.
148,Divine,Connected with a god.
149,Docile,Can be easily persuaded or controlled.
150,Dogmatic,Asserting your own opinions as facts.
151,Domestic,"Relating to home - whether this is a property, family or country."
152,Dormant,Slowed down and temporarily inactive.
153,Dose,A quantity or portion of something to be given.
154,Doubtful,Lacking certainty and not certain to be true.
155,Dour,Very serious and sullen.
156,Draconian,Very harsh and severe.
157,Dutiful,Obediently doing as you should and motivated to do so by a sense of duty.
158,Egoistical,Prioritising your own desires and having an emphasised sense of self-importance.
159,Elementary,The basic and introductory elements of a topic.
160,Eloquence,Speaking clearly with fluency and aptness.
161,Elucidate,Explaining something to make it easier to understand.
162,Embargo,A ban or order to prevent something from happening.
163,Embrace,Hold someone or something in your arms tightly.
164,Empire,A large group or organisation being run by one person.
165,Emulate,Copy the behaviour of another in an attempt to equal them or excel.
166,Endorse,Publicly approve or give support for something.
167,Endure,Keep going without stopping even when something is difficult or unpleasant.
168,Enterprise,A project or business being undertaken.
169,Enthuse,Have great interest in and be excited about something.
170,Entire,The whole amount of something with nothing left out.
171,Epiphany,A sudden realisation or moment of understanding.
172,Equivocate,Not speaking clearly and deliberately using vague language.
173,Era,A period of time that is marked by distinctive character or a prominent figure.
174,Erect,Assemble something into a vertical position.
175,Erratic,A lack of regularity and can be unpredictable.
176,Especially,Used to single something out and make it stand out.
177,Etiquette,Controlling yourself in a polite way and following the social rules.
178,Exaggerate,Overstate something and make it sound better or worse than it really is.
